Labels,Latitude,Longitude,Capacity
ParkingVelo440,48.852753,2.3589048,12
ParkingVelo441,48.8531452,2.3585903,12
ParkingVelo442,48.8532748,2.3582369,12
ParkingVelo443,48.853558,2.3672127,14
ParkingVelo444,48.8536389,2.3574562,18
ParkingVelo445,48.8537016,2.3654221,6
ParkingVelo446,48.8539333,2.3867459,10
ParkingVelo447,48.8542646,2.3557006,20
ParkingVelo448,48.854664,2.3625113,16
ParkingVelo449,48.8551384,2.3611843,8
ParkingVelo450,48.855169,2.3610559,10
ParkingVelo451,48.8554589,2.3526893,12
ParkingVelo452,48.8555329,2.3531057,12
ParkingVelo453,48.8558034,2.3511362,20
ParkingVelo454,48.8558263,2.3561325,20
ParkingVelo455,48.8559598,2.3536261,4
ParkingVelo456,48.8576362,2.3453689,12
ParkingVelo457,48.8577097,2.3795254,20
ParkingVelo458,48.8578458,2.3794382,18
ParkingVelo459,48.8580259,2.3793197,16
ParkingVelo460,48.8588419,2.3399824,6
ParkingVelo461,48.8592878,2.3529192,10
ParkingVelo462,48.8659395,2.3353015,8
ParkingVelo463,48.8664586,2.3650271,28
ParkingVelo464,48.8680604,2.3339741,22
ParkingVelo465,48.8682365,2.35998,10
ParkingVelo466,48.8683213,2.3611249,6
ParkingVelo467,48.8693076,2.3568962,18
ParkingVelo468,48.8692824,2.3567025,8
ParkingVelo469,48.8703411,2.3499916,18
ParkingVelo470,48.8703632,2.3498715,8
ParkingVelo471,48.8704864,2.3493477,8
ParkingVelo472,48.8705032,2.3492529,18
ParkingVelo473,48.8716168,2.3500129,12
ParkingVelo474,48.8721772,2.3498788,8
ParkingVelo475,48.8721219,2.3502333,10
ParkingVelo476,48.8722304,2.3500478,12
ParkingVelo477,48.8737107,2.350458,12
ParkingVelo478,48.8742474,2.3506612,6
ParkingVelo479,48.8747694,2.3508011,18
ParkingVelo480,48.8751616,2.3395101,8
ParkingVelo481,48.8756989,2.3482404,6
ParkingVelo482,48.8779921,2.3512114,10
ParkingVelo483,48.8784122,2.3428055,8
ParkingVelo484,48.8786728,2.3506247,16
ParkingVelo485,48.8791559,2.3494749,8
ParkingVelo486,48.8792399,2.3478983,30
ParkingVelo487,48.8794061,2.3508173,10
ParkingVelo488,48.8795321,2.3488815,16
ParkingVelo489,48.8798364,2.3435759,4
ParkingVelo490,48.8799606,2.3474194,10
ParkingVelo491,48.8339714,2.287248,16
ParkingVelo492,48.8360021,2.2902286,10
ParkingVelo493,48.8372622,2.2894984,14
ParkingVelo494,48.8449868,2.3955474,4
ParkingVelo495,48.8452805,2.3208673,12
ParkingVelo496,48.8463885,2.3943142,16
ParkingVelo497,48.8489797,2.3916184,10
ParkingVelo498,48.8496488,2.3872876,12
ParkingVelo499,48.8502461,2.3827334,28
ParkingVelo500,48.8505818,2.3814418,22
ParkingVelo501,48.8504894,2.3846576,6
ParkingVelo502,48.8512908,2.3816104,10
ParkingVelo503,48.8518188,2.328049,12
ParkingVelo504,48.8525103,2.3807651,22
ParkingVelo505,48.85335,2.380511,8
ParkingVelo506,48.853788,2.395756,12
ParkingVelo507,48.854196,2.3797545,8
ParkingVelo508,48.8561395,2.3783346,18
ParkingVelo509,48.8576495,2.3771659,26
ParkingVelo510,48.858487,2.3763825,14
ParkingVelo511,48.8618492,2.3648119,22
ParkingVelo512,48.8621887,2.3636228,16
ParkingVelo513,48.8622909,2.3665399,16
ParkingVelo514,48.8633321,2.3689652,12
ParkingVelo515,48.8645884,2.35976,14
ParkingVelo516,48.8670621,2.3513836,18
ParkingVelo517,48.873631,2.3479604,8
ParkingVelo518,48.8755325,2.3482416,6
ParkingVelo519,48.8757253,2.3397489,10
ParkingVelo520,48.8760174,2.3399643,20
ParkingVelo521,48.8761557,2.3403641,24
ParkingVelo522,48.8769596,2.3488271,14
ParkingVelo523,48.854368,2.3547701,14
ParkingVelo524,48.8239179,2.3228778,20
ParkingVelo525,48.8242443,2.3213961,16
ParkingVelo526,48.8245428,2.3200526,32
ParkingVelo527,48.8255197,2.3158014,22
ParkingVelo528,48.8258354,2.3143805,26
ParkingVelo529,48.8261184,2.3588274,10
ParkingVelo530,48.8261118,2.3131248,12
ParkingVelo531,48.8275083,2.3317879,8
ParkingVelo532,48.8291059,2.2993414,20
ParkingVelo533,48.8296916,2.2966661,18
ParkingVelo534,48.830012,2.2961147,8
ParkingVelo535,48.8325019,2.2889396,18
ParkingVelo536,48.8366293,2.2763155,10
ParkingVelo537,48.8431275,2.2603574,6
ParkingVelo538,48.847543,2.3889257,6
ParkingVelo539,48.8478508,2.3908064,16
ParkingVelo540,48.848249,2.3808194,12
